,h,m,s,RA,d,m.1,s.1,DEC,F60,F100,Td,B,M,Av
100,4,39,5.05,69.7710416666667,45,10,20.1,45.17225,4.7408,22.852,23.2616695950079,8.185633743375919e-16,2.69030889559678e+28,5.672723766014798e-05
101,4,39,5.09,69.7712083333333,45,8,45.1,45.1458611111111,4.6722,22.651,23.2293541712182,8.11534218670259e-16,2.71202593136459e+28,5.6715305441490393e-05
102,4,39,5.88,69.7745,45,7,10.1,45.1194722222222,4.6436,22.59,23.2100150957864,8.07347328706178e-16,2.72449698493677e+28,5.6855897533347743e-05
103,4,39,7.04,69.7793333333333,45,5,43.0,45.0952777777778,4.6146,22.402,23.2217622930704,8.09888828898507e-16,2.71449090691282e+28,5.6205812066556504e-05
104,4,39,7.07,69.7794583333333,45,4,19.9,45.0721944444445,4.5493,22.041,23.2329687683926,8.123184092975301e-16,2.70498674286179e+28,5.5134707409698613e-05
105,4,39,6.74,69.7780833333333,45,2,48.8,45.0468888888889,4.4431,21.625,23.2073200957717,8.06765032721928e-16,2.72207739574809e+28,5.446647509799174e-05
106,4,39,7.52,69.7813333333334,45,1,17.7,45.0215833333333,4.3475,21.417,23.1397109539485,7.92250379789845e-16,2.77039083396145e+28,5.4930847570022756e-05
107,4,39,9.79,69.7907916666667,44,59,58.6,44.9996111111111,4.3627,21.506,23.1360481765479,7.91469153650781e-16,2.77177198177447e+28,5.5213554410959986e-05
108,4,39,12.05,69.8002083333333,44,59,19.1,44.9886388888889,4.3002,21.455,23.0690246863522,7.77266372212701e-16,2.82173164453029e+28,5.608910474186324e-05
109,4,39,11.7,69.79875,44,58,7.8,44.9688333333333,4.4634,22.217,23.082055100096,7.80013896334222e-16,2.8105545172127e+28,5.787653931821346e-05
110,4,39,10.99,69.7957916666667,44,56,44.6,44.9457222222222,4.7208,23.359,23.115084131079,7.87007870460183e-16,2.78414609860861e+28,6.0310665727980606e-05
111,4,38,57.16,69.7381666666667,45,11,31.0,45.1919444444444,4.7603,23.069,23.231574145506,8.12015783397959e-16,2.71318426899782e+28,5.7727640953353365e-05
112,4,38,56.08,69.7336666666667,45,9,55.9,45.1655277777778,4.5987,22.678,23.1339250932576,7.91016565943906e-16,2.78358343925096e+28,5.825571938256058e-05
113,4,38,56.87,69.7369583333333,45,8,28.8,45.1413333333333,4.5305,22.534,23.0862403178429,7.8089777229172695e-16,2.81814238690263e+28,5.863587644205914e-05
114,4,38,57.28,69.7386666666667,45,7,5.7,45.11825,4.5194,22.465,23.0896478057957,7.816179036175549e-16,2.81410618696181e+28,5.840248006461213e-05
115,4,38,58.82,69.7450833333333,45,5,34.7,45.0929722222222,4.5562,22.507,23.1243638879552,7.88980543055504e-16,2.78628349339095e+28,5.796565906912576e-05
116,4,38,59.98,69.7499166666667,45,3,47.8,45.0632777777778,4.5482,22.161,23.2011240718915,8.05427370441852e-16,2.72759023734997e+28,5.5909148357624616e-05
117,4,39,0.01,69.7500416666667,45,2,40.5,45.0445833333333,4.3988,21.752,23.1185918395414,7.87753136751696e-16,2.78763023448476e+28,5.6108533424859e-05
118,4,39,0.8,69.7533333333333,45,1,9.5,45.0193055555556,4.2821,21.375,23.0663514232633,7.76703519161821e-16,2.82570130363202e+28,5.592046255753491e-05
119,4,39,1.2,69.755,45,0,10.1,45.0028055555556,4.2892,21.426,23.0623260586805,7.75856506941274e-16,2.82774938016988e+28,5.6115076085494486e-05
120,4,39,1.97,69.7582083333333,44,59,22.6,44.9896111111111,4.2333,21.121,23.0690812846294,7.77278291933313e-16,2.82174935050004e+28,5.521511684858371e-05
121,4,39,1.99,69.7582916666667,44,58,27.2,44.9742222222222,4.4038,21.594,23.1655993619686,7.97787041889194e-16,2.74827012466887e+28,5.500044755102351e-05
122,4,39,3.52,69.7646666666667,44,56,56.2,44.9489444444444,4.6019,22.29,23.2344425185141,8.12638288707192e-16,2.69652809723009e+28,5.573560662042176e-05
123,4,38,46.66,69.6944166666667,45,11,38.4,45.194,4.6977,22.986,23.1775424351562,8.003501198889989e-16,2.75285603781038e+28,5.835831760403476e-05
124,4,38,47.83,69.6992916666667,45,10,7.4,45.1687222222222,4.5335,22.431,23.1153869618508,7.87072192532362e-16,2.7977310926533e+28,5.790999654253781e-05
125,4,38,48.25,69.7010416666667,45,8,40.3,45.1445277777778,4.5008,22.329,23.1004719972594,7.83908468331432e-16,2.80751762854872e+28,5.787931690559578e-05
126,4,38,49.05,69.704375,45,6,57.3,45.1159166666667,4.5262,22.263,23.1483072753372,7.9408593345694e-16,2.76977834969355e+28,5.696864112769706e-05
127,4,38,49.1,69.7045833333333,45,5,26.3,45.0906388888889,4.5752,22.279,23.2045355502382,8.06163689175041e-16,2.72675356272444e+28,5.6155502015986514e-05
128,4,38,51.0,69.7125,45,4,15.1,45.0708611111111,4.4899,22.034,23.1610801759298,7.96818647697357e-16,2.75752272272702e+28,5.6189310401522086e-05
129,4,38,51.43,69.7142916666667,45,2,32.2,45.0422777777778,4.4029,21.654,23.1489580770613,7.94225015529295e-16,2.76477323233488e+28,5.540061529085705e-05
130,4,38,51.46,69.7144166666667,45,1,13.0,45.0202777777778,4.2941,21.301,23.1011340021449,7.84048706989958e-16,2.79928979383933e+28,5.520482143450689e-05
131,4,38,51.5,69.7145833333333,45,0,1.7,45.0004722222222,4.3521,21.263,23.1859522046219,8.02158281576664e-16,2.73488917943588e+28,5.386229065951209e-05
132,4,38,53.76,69.724,44,59,22.2,44.9895,4.228,20.951,23.1069986756618,7.85291822163591e-16,2.79294784021811e+28,5.421181625553384e-05
133,4,38,54.9,69.72875,44,58,34.7,44.9763055555556,4.3793,21.432,23.1765132406569,8.00129026251667e-16,2.74035285001615e+28,5.442806612132589e-05
134,4,38,54.57,69.727375,44,57,3.6,44.951,4.466,21.866,23.1740318272037,7.99596134942311e-16,2.74063629478079e+28,5.5567216048824086e-05
135,4,38,54.62,69.7275833333333,44,55,16.7,44.9213055555556,4.5831,22.692,23.1115630140381,7.86260238633216e-16,2.78527954203265e+28,5.864429559820916e-05
136,4,38,38.43,69.660125,45,11,26.0,45.1905555555556,4.7111,23.127,23.1592751290646,7.96432076815401e-16,2.76618785735532e+28,5.900513277234953e-05
137,4,38,38.48,69.6603333333333,45,9,58.9,45.1663611111111,4.5603,22.652,23.0936445618351,7.824631463838189e-16,2.81406383044331e+28,5.882499990828016e-05
138,4,38,40.02,69.66675,45,8,35.8,45.1432777777778,4.5257,22.552,23.0759267553608,7.78720882511422e-16,2.82614214514585e+28,5.8846753846597544e-05
139,4,38,40.81,69.6700416666667,45,7,8.7,45.1190833333333,4.6285,22.554,23.2006914536232,8.05334028683392e-16,2.73128456743006e+28,5.6907199821321086e-05
140,4,38,41.99,69.6749583333333,45,5,21.9,45.0894166666667,4.6754,22.457,23.2816687437971,8.22934188800393e-16,2.67111289950774e+28,5.5450649845356637e-05
141,4,38,42.04,69.6751666666667,45,4,2.7,45.0674166666667,4.5797,22.099,23.2556619372667,8.17253487683133e-16,2.68836736731833e+28,5.494598401811768e-05
142,4,38,42.84,69.6785,45,2,19.8,45.0388333333333,4.3971,21.744,23.1184877642861,7.87731017453535e-16,2.78735265583472e+28,5.6089473170151116e-05
143,4,38,44.0,69.6833333333333,45,1,4.6,45.0179444444444,4.2541,21.29,23.0520846001394,7.73704353009024e-16,2.83656901074623e+28,5.591399549986775e-05
144,4,38,44.78,69.6865833333333,45,0,1.3,45.0003611111111,4.2573,21.161,23.0899509870008,7.81681999218876e-16,2.8065231000628e+28,5.500804102664958e-05
145,4,38,46.29,69.692875,44,59,29.7,44.9915833333333,4.2169,20.901,23.1056670677211,7.85009447911663e-16,2.79408186600187e+28,5.410189548593625e-05
146,4,38,45.95,69.6914583333333,44,58,18.4,44.9717777777778,4.2681,21.179,23.0993034134499,7.83660958070082e-16,2.79765771358364e+28,5.491580602712265e-05
147,4,38,46.0,69.6916666666667,44,56,47.3,44.9464722222222,4.3492,21.534,23.1115388282,7.86255104976181e-16,2.78685816019652e+28,5.5652053425281345e-05
148,4,38,45.66,69.69025,44,55,36.0,44.9266666666667,4.4345,22.088,23.0783226239444,7.79226210485222e-16,2.81075750142464e+28,5.7598660211377606e-05
149,4,38,44.96,69.6873333333333,44,54,12.8,44.9035555555556,4.5409,23.213,22.9351477240229,7.49419243853792e-16,2.92104752669025e+28,6.293972062587638e-05
150,4,38,30.2,69.6258333333333,45,11,9.6,45.186,4.7807,23.201,23.2235411034747,8.10274147286684e-16,2.71865844416901e+28,5.8182735354073145e-05
151,4,38,30.25,69.6260416666667,45,9,46.5,45.1629166666667,4.6985,22.945,23.1884906096457,8.02704602792104e-16,2.74289360174524e+28,5.808336163659611e-05
152,4,38,31.05,69.629375,45,8,15.4,45.1376111111111,4.6832,22.853,23.1927256852505,8.03616648696731e-16,2.73824547286137e+28,5.7784823865980606e-05
153,4,38,31.48,69.6311666666667,45,6,40.4,45.1112222222222,4.7467,23.008,23.2303750011999,8.117556366243201e-16,2.70920590953771e+28,5.7593450314863404e-05
154,4,38,34.15,69.6422916666667,45,5,5.6,45.0848888888889,4.733,22.672,23.2970151827984,8.26298882345804e-16,2.65996897832007e+28,5.575356065046222e-05
155,4,38,33.07,69.6377916666667,45,3,58.2,45.0661666666667,4.6766,22.19,23.3508549561152,8.38177050151609e-16,2.62118447179937e+28,5.379499890545425e-05
156,4,38,34.62,69.64425,45,2,23.2,45.0397777777778,4.4722,21.69,23.2271233577833,8.11050498303182e-16,2.70726692197717e+28,5.4341535269286645e-05
157,4,38,34.66,69.6444166666667,45,1,8.0,45.0188888888889,4.2938,21.154,23.1393045841161,7.92163680127694e-16,2.77052822391186e+28,5.4262255021919614e-05
158,4,38,36.2,69.6508333333333,44,59,52.9,44.9980277777778,4.1761,20.915,23.0480192702768,7.72851189466358e-16,2.83844401805307e+28,5.498979440599072e-05
159,4,38,36.59,69.6524583333333,44,59,13.3,44.9870277777778,4.189,20.985,23.0465970036696,7.72552859524321e-16,2.8388459747832e+28,5.519513899032713e-05
160,4,38,37.36,69.6556666666667,44,58,25.8,44.9738333333333,4.189,20.985,23.0465970036696,7.72552859524321e-16,2.83801335708537e+28,5.519513899032713e-05
161,4,38,37.79,69.6574583333333,44,56,42.9,44.94525,4.2352,21.217,23.046451272506,7.725222958756229e-16,2.8363218544638e+28,5.5807540487173846e-05
162,4,38,37.09,69.6545416666667,44,55,19.7,44.9221388888889,4.2992,21.799,22.9799033769406,7.58651509112566e-16,2.88669455847982e+28,5.838665760249384e-05
163,4,38,37.14,69.65475,44,53,52.6,44.8979444444444,4.3509,22.472,22.8788478655188,7.37915106396685e-16,2.96621611749418e+28,6.188051726296884e-05
164,4,38,22.38,69.59325,45,9,53.9,45.1649722222222,4.7954,23.241,23.2311142700225,8.119160096208701e-16,2.71189815597242e+28,5.8165186211045494e-05
165,4,38,23.55,69.598125,45,8,38.7,45.1440833333333,4.8253,23.24,23.2663529023732,8.19585493628041e-16,2.68527834380692e+28,5.761842685725327e-05
166,4,38,23.25,69.596875,45,6,32.0,45.1088888888889,4.8361,23.326,23.258134547872,8.17792433613905e-16,2.68906794111565e+28,5.795843435862924e-05
167,4,38,24.42,69.60175,45,5,16.8,45.088,4.8086,23.195,23.2577358967596,8.17705524757653e-16,2.6881083676326e+28,5.7639071501691674e-05
168,4,38,24.86,69.6035833333333,45,3,37.8,45.0605,4.6727,22.438,23.2831863290413,8.23266502733179e-16,2.66832235493871e+28,5.538137323168879e-05
169,4,38,26.03,69.6084583333333,45,2,10.8,45.0363333333333,4.5238,21.658,23.3001187713389,8.269804751598801e-16,2.65491427216729e+28,5.321616635722837e-05
170,4,38,26.09,69.6087083333333,45,0,35.8,45.0099444444444,4.3436,21.232,23.1831750285064,8.01560861397454e-16,2.73750365020744e+28,5.38238503280386e-05
171,4,38,29.12,69.6213333333333,44,59,16.8,44.988,4.1327,20.966,22.9769553677631,7.58041011157576e-16,2.8932550350244e+28,5.620082915303026e-05
172,4,38,29.54,69.6230833333333,44,58,13.4,44.9703888888889,4.0514,20.966,22.8682083668462,7.35754728032463e-16,2.97972589376841e+28,5.7903123790059574e-05
173,4,38,29.95,69.6247916666667,44,56,58.2,44.9495,4.152,20.962,23.0036583730479,7.63583150670677e-16,2.8697975594387e+28,5.578228685132469e-05
174,4,38,29.62,69.6234166666667,44,55,54.8,44.9318888888889,4.2902,21.51,23.0419574039049,7.71580218637618e-16,2.8389407239926e+28,5.664728141241415e-05
175,4,38,28.93,69.6205416666667,44,54,19.8,44.9055,4.4805,22.401,23.0575288561442,7.748479086082839e-16,2.82530803507333e+28,5.874490856028203e-05
176,4,38,28.62,69.61925,44,52,36.8,44.8768888888889,4.691,23.311,23.0913124524015,7.81969871073871e-16,2.79779219808352e+28,6.0574491641429695e-05
177,4,38,16.25,69.5677083333333,45,3,49.1,45.0636388888889,4.7155,22.89,23.2222109541104,8.09986004203673e-16,2.71226098427101e+28,5.74232615631054e-05
178,4,38,17.45,69.5727083333333,45,2,2.3,45.0339722222222,4.5461,21.955,23.2510077297111,8.16239681827365e-16,2.68970892847742e+28,5.4655757318999854e-05
179,4,38,18.99,69.579125,45,0,39.2,45.0108888888889,4.344,21.346,23.1537484125288,7.9524926291804095e-16,2.75928809844355e+28,5.454229823242951e-05
180,4,38,20.91,69.587125,44,59,16.2,44.9878333333333,4.1024,21.095,22.9029924881223,7.42833834283188e-16,2.95247435686774e+28,5.770419282080663e-05
181,4,38,20.95,69.5872916666667,44,58,20.8,44.9724444444445,4.1024,21.095,22.9029924881223,7.42833834283188e-16,2.95146441047871e+28,5.770419282080663e-05
182,4,38,21.36,69.589,44,57,13.5,44.95375,4.1805,21.339,22.9432694508003,7.51088870646668e-16,2.91781217808088e+28,5.773009181875288e-05
183,4,38,20.69,69.5862083333333,44,55,22.5,44.9229166666667,4.3692,22.021,23.0130577680469,7.655405361611801e-16,2.86076699673506e+28,5.845049590180729e-05
184,4,38,19.99,69.5832916666667,44,54,7.3,44.9020277777778,4.5953,23.042,23.0414043399774,7.71464330655384e-16,2.83748018044527e+28,6.069084582160933e-05
185,4,38,8.03,69.5334583333333,45,3,52.4,45.0645555555556,4.7826,23.202,23.2255314781585,8.10705441581758e-16,2.70990918854031e+28,5.815428947208989e-05
186,4,38,8.1,69.53375,45,2,9.5,45.0359722222222,4.6007,22.424,23.1993247954473,8.05039206727398e-16,2.72725184495711e+28,5.659991905293538e-05
187,4,38,9.65,69.5402083333333,45,0,54.4,45.0151111111111,4.3922,21.757,23.108956628415,7.85707141728624e-16,2.79306060374642e+28,5.62675674568025e-05
188,4,38,12.35,69.5514583333333,44,58,36.0,44.9766666666667,4.1829,21.553,22.8918165960749,7.40554308351453e-16,2.96082736571475e+28,5.913846146576862e-05
189,4,38,13.16,69.5548333333333,44,57,12.9,44.9535833333333,4.2784,21.997,22.903740564612,7.429865892625569e-16,2.94962003367685e+28,6.015911850687505e-05
190,4,38,12.46,69.5519166666667,44,55,57.6,44.9326666666667,4.5295,22.702,23.0438552165006,7.71977973056758e-16,2.83752710355042e+28,5.975555472259586e-05
191,4,38,1.0,69.5041666666667,45,2,8.9,45.0358055555556,4.6897,22.724,23.2322826059103,8.121695060341069e-16,2.70329841288835e+28,5.6853578219828727e-05
192,4,38,1.07,69.5044583333333,45,0,33.9,45.0094166666667,4.5135,22.131,23.165830003898,7.978364864922e-16,2.75025032251777e+28,5.636466794478601e-05
193,4,38,3.4,69.5141666666667,44,58,39.2,44.9775555555556,4.3065,22.116,22.9100326418037,7.44272263233123e-16,2.94609500370568e+28,6.0380079843880274e-05
194,4,38,3.83,69.5159583333333,44,57,20.1,44.9555833333333,4.4245,22.925,22.8615036386274,7.34395541717476e-16,2.9842578089978e+28,6.343041989920195e-05
195,4,37,53.17,69.4715416666667,45,1,52.4,45.0312222222222,4.787,23.138,23.2462378548696,8.15201567812401e-16,2.69296966745935e+28,5.7674034687815734e-05
196,4,37,53.24,69.4718333333333,45,0,29.3,45.0081388888889,4.7069,22.922,23.2041232295481,8.06074671344495e-16,2.72206513796225e+28,5.778255396449161e-05
197,4,37,53.68,69.4736666666667,44,59,2.2,44.9839444444445,4.5735,22.614,23.1190568565323,7.87851972805084e-16,2.78352829713902e+28,5.832465029520506e-05
198,4,37,56.37,69.484875,44,57,15.5,44.9543055555556,4.6398,23.243,23.0466695121887,7.72568066770584e-16,2.83672524363338e+28,6.113278790087495e-05
199,4,37,44.64,69.436,45,0,36.4,45.0101111111111,4.8512,23.385,23.2614669577696,8.18519168860837e-16,2.68079721595843e+28,5.8053440239569376e-05
